file,title,sort_title,year,slug,gutenberg_url
a book of worthies.qmd,Charlotte Yonge's Book of Worthies (1869) - online text,Charlotte Yonge's Book of Worthies (1869) - online text,1869,a book of worthies,NA
a shilling book of golden deeds.qmd,A Shilling Book of Golden Deeds - by Charlotte Mary Yonge(1864),Shilling Book of Golden Deeds - by Charlotte Mary Yonge(1864),1867,a shilling book of golden deeds,NA
abbey_church.qmd,"Abbeychurch, or Self control and self conceit","Abbeychurch, or Self control and self conceit",1844,abbey_church,https://www.gutenberg.org/ebooks/4267
apple of discord.qmd,The apple of discord - by Charlotte Mary Yonge(1864),apple of discord - by Charlotte Mary Yonge(1864),1864,apple of discord,NA
armourers_prentices.qmd,The Armourer's 'Prentices,Armourer's 'Prentices,1883-1884,armourers_prentices,https://www.gutenberg.org/ebooks/9959
astray.qmd,Astray,Astray,NA,astray,NA
Aunt Charlotte's evenings at home with the poets.qmd,Aunt Charlotte's evenings at home with the poets,Aunt Charlotte's evenings at home with the poets,1881,Aunt Charlotte's evenings at home with the poets,NA
Aunt_bible.qmd,Aunt Charlotte's Stories of Bible History for the little ones,Aunt Charlotte's Stories of Bible History for the little ones,1875,Aunt_bible,NA
Aunt_English.qmd,Aunt Charlotte's Stories of English History for the little ones,Aunt Charlotte's Stories of English History for the little ones,1873,Aunt_English,https://www.gutenberg.org/ebooks/4769
Aunt_German.qmd,Aunt Charlotte's Stories of German History for the little ones,Aunt Charlotte's Stories of German History for the little ones,NA,Aunt_German,NA
Aunt_Roman.qmd,Aunt Charlotte's Stories of Roman History for the little ones,Aunt Charlotte's Stories of Roman History for the little ones,NA,Aunt_Roman,NA
authorship.qmd,Authorship,Authorship,NA,authorship,NA
A_man_of_other_days-Marquis_Henry_Joseph_Costa.qmd,Memoirs of Colonel Bugeaud - translated and edited by Charlotte Mary Yonge (1884),Memoirs of Colonel Bugeaud - translated and edited by Charlotte Mary Yonge (1884),1877,A_man_of_other_days-Marquis_Henry_Joseph_Costa,NA
beechcroft_at_rockstone.qmd,Details of Charlotte Yonge's novel Beechcroft at Rockstone,Details of Charlotte Yonge's novel Beechcroft at Rockstone,1888,beechcroft_at_rockstone,NA
Ben Sylvester's Word.qmd,Ben Sylvester's Word,Ben Sylvester's Word,1856,Ben Sylvester's Word,NA
Biographies of Good Women.qmd,Biographies of Good Women,Biographies of Good Women,NA,Biographies of Good Women,NA
bishop_patteson.qmd,"Life of John Coleridge Patteson, Missionary Bishop tp the Melanesian Islands - Charlotte Mary Yonge (1873)","Life of John Coleridge Patteson, Missionary Bishop tp the Melanesian Islands - Charlotte Mary Yonge (1873)",1873,bishop_patteson,https://www.gutenberg.org/ebooks/4952
bye_words.qmd,"Charlotte Mary Yonge - Bye-words : a collection of tales, new and old","Charlotte Mary Yonge - Bye-words : a collection of tales, new and old",1880,bye_words,NA
caged_lion.qmd,The Caged Lion by Charlotte Mary Yonge,Caged Lion by Charlotte Mary Yonge,"1868-9, 1870",caged_lion,https://www.gutenberg.org/ebooks/2573
cameos.qmd,"Cameos of English history, from Rollo to Edward II - Charlotte Mary Yonge","Cameos of English history, from Rollo to Edward II - Charlotte Mary Yonge",1868-1899,cameos,NA
carbonels.qmd,The Carbonels - 1895 - a novel by Charlotte Mary Yonge,Carbonels - 1895 - a novel by Charlotte Mary Yonge,1895,carbonels,NA
castle_builders.qmd,The Castle Builders or The Deferred Confirmation,Castle Builders or The Deferred Confirmation,1854,castle_builders,NA
catherine_of_aragon.qmd,Catharine of Aragon and the sources of the English Reformation by Charlotte Mary Yonge,Catharine of Aragon and the sources of the English Reformation by Charlotte Mary Yonge,1881,catherine_of_aragon,NA
chantry_house.qmd,Chantry House - Charlotte Mary Yonge,Chantry House - Charlotte Mary Yonge,1886,chantry_house,https://www.gutenberg.org/ebooks/7378
chateau_de_melville.qmd,"Le Chateau de Melville, ou Recréations du cabinet d'étude","Le Chateau de Melville, ou Recréations du cabinet d'étude",1839,chateau_de_melville,NA
chosen_people.qmd,The Chosen People by Charlotte Mary Yonge,Chosen People by Charlotte Mary Yonge,1862,chosen_people,NA
christmas_mummers.qmd,The Christmas Mummers - Charlotte Mary Yonge,Christmas Mummers - Charlotte Mary Yonge,1858,christmas_mummers,NA
clever_woman_of_the_family.qmd,The Clever Woman of the Family by Charlotte Mary Yonge,Clever Woman of the Family by Charlotte Mary Yonge,NA,clever_woman_of_the_family,http://onlinebooks.library.upenn.edu/webbin/gutbook/lookup?num=3292
constables tower.qmd,"The Constable's Tower, or, The Times of Magna Carta - Charlotte Mary Yonge","Constable's Tower, or, The Times of Magna Carta - Charlotte Mary Yonge",1891,constables tower,NA
cook_and_captive.qmd,"The Cook and the Captive, or Attalus the Hostage","Cook and the Captive, or Attalus the Hostage",NA,cook_and_captive,NA
Copy of memoires_of_colonel_bugeaud.qmd,Strolling players:A harmony of contrasts - by Charlotte Mary Yonge and Christabel R Coleridge(1893),Strolling players:A harmony of contrasts - by Charlotte Mary Yonge and Christabel R Coleridge(1893),1893,Copy of memoires_of_colonel_bugeaud,NA
countess_kate.qmd,Countess Kate - Charlotte Mary Yonge,Countess Kate - Charlotte Mary Yonge,1862,countess_kate,https://www.gutenberg.org/ebooks/3259
cunning_woman.qmd,The Cunning Woman's Grandson - Charlotte Mary Yonge,Cunning Woman's Grandson - Charlotte Mary Yonge,1889,cunning_woman,NA
daisychain.qmd,Charlotte Mary Yonge - The Daisy Chain - 1856,Charlotte Mary Yonge - The Daisy Chain - 1856,1856,daisychain,https://www.gutenberg.org/ebooks/3610
dames_of_high_estate.qmd,Charlotte Mary Yonge - Dames of High Estate,Charlotte Mary Yonge - Dames of High Estate,1872,dames_of_high_estate,NA
danvers_papers.qmd,The Danvers Papers - Charlotte Mary Yonge,Danvers Papers - Charlotte Mary Yonge,1867,danvers_papers,NA
"disturbing element, or, chronicles of the Blue-Bell Society.qmd","Charlotte Mary Yonge - The Disturbing Element, or, Chronicles of the Blue-Bell Society","Charlotte Mary Yonge - The Disturbing Element, or, Chronicles of the Blue-Bell Society",1878,"disturbing element, or, chronicles of the Blue-Bell Society",NA
dove.qmd,The Dove in the Eagle's Nest - Charlotte Mary Yonge,Dove in the Eagle's Nest - Charlotte Mary Yonge,1866,dove,https://www.gutenberg.org/ebooks/3139
dynevor_terrace.qmd,Dynevor Terrace - Charlotte Mary Yonge,Dynevor Terrace - Charlotte Mary Yonge,1857,dynevor_terrace,https://www.gutenberg.org/ebooks/4235
english_church_history.qmd,Charlotte Mary Yonge - English Church History (1883),Charlotte Mary Yonge - English Church History (1883),1883,english_church_history,NA
Founded on paper.qmd,Founded on paper,Founded on paper,1898,Founded on paper,NA
founded_on_paper.qmd,Founded on Paper by Charlotte Mary Yonge,Founded on Paper by Charlotte Mary Yonge,NA,founded_on_paper,NA
friarswood.qmd,Friarswood Post-Office - Charlotte Mary Yonge - CMYF,Friarswood Post-Office - Charlotte Mary Yonge - CMYF,1860,friarswood,https://www.gutenberg.org/ebooks/4296
given_to_hospitality.qmd,Given to hospitality,Given to hospitality,NA,given_to_hospitality,NA
golden_deeds.qmd,"Charlotte Yonge's Book of Golden Deeds (1864) - online text, contents list, original preface, bibliography, contemporary notices","Charlotte Yonge's Book of Golden Deeds (1864) - online text, contents list, original preface, bibliography, contemporary notices",1864,golden_deeds,http://onlinebooks.library.upenn.edu/webbin/gutbook/lookup?num=6489
gold_dust.qmd,Gold Dust - Charlotte Mary Yonge,Gold Dust - Charlotte Mary Yonge,1880,gold_dust,NA
grisly_grisell.qmd,Grisly Grisell - Charlotte Mary Yonge,Grisly Grisell - Charlotte Mary Yonge,1893,grisly_grisell,NA
hannah_more.qmd,Hannah More by Charlotte Mary Yonge,Hannah More by Charlotte Mary Yonge,1888,hannah_more,NA
heartsease.qmd,Heartsease - Charlotte Mary Yonge,Heartsease - Charlotte Mary Yonge,1854,heartsease,https://www.gutenberg.org/ebooks/2601
heir_of_redclyffe.qmd,The Heir of Redclyffe - Charlotte Mary Yonge,Heir of Redclyffe - Charlotte Mary Yonge,1853,heir_of_redclyffe,NA
henrietta.qmd,"Details of Charlotte Yonge's novel Henrietta's Wish, or Domineering","Details of Charlotte Yonge's novel Henrietta's Wish, or Domineering",1850,henrietta,NA
herd_boy_and_his_hermit.qmd,The Herd-boy and his Hermit,Herd-boy and his Hermit,1900,herd_boy_and_his_hermit,https://www.gutenberg.org/ebooks/5313
historical_dramas.qmd,Charlotte Mary Yonge - Historical Dramas -The Mice at Play -- The Apple of Discord,Charlotte Mary Yonge - Historical Dramas -The Mice at Play -- The Apple of Discord,1864,historical_dramas,NA
History of France.qmd,History of France written by Charlotte Yonge and edited by John Richard Green,History of France written by Charlotte Yonge and edited by John Richard Green,NA,History of France,NA
History of the Universities Mission to Central Africa.qmd,The History of the Universities' Mission to Central Africa,History of the Universities' Mission to Central Africa,1897,History of the Universities Mission to Central Africa,NA
history_of_christian_names.qmd,History of Christian Names,History of Christian Names,"1863, 1884",history_of_christian_names,NA
hopes_fears.qmd,"Hopes and Fears, or, Scenes from the Life of a Spinster","Hopes and Fears, or, Scenes from the Life of a Spinster",1860,hopes_fears,NA
how_to_teach_the_New_Testament.qmd,How to teach the New Testament,How to teach the New Testament,1881,how_to_teach_the_New_Testament,NA
hrh_prince_consort.qmd,Life of H.R.H. the Prince Consort,Life of H.R.H. the Prince Consort,1890,hrh_prince_consort,NA
instructive_picture_book.qmd,Charlotte Mary Yonge - The Instructive Picture Book,Charlotte Mary Yonge - The Instructive Picture Book,1857,instructive_picture_book,NA
john_keble_parishes.qmd,John Keble's Parishes: A History of Hursley and Otterbourne,John Keble's Parishes: A History of Hursley and Otterbourne,1898,john_keble_parishes,https://www.gutenberg.org/ebooks/6405
journal_of_the_Lady_Beatrix_Graham.qmd,Journal of the Lady Beatrix Graham - with a preface by Charlotte Mary Yonge (1871),Journal of the Lady Beatrix Graham - with a preface by Charlotte Mary Yonge (1871),1871,journal_of_the_Lady_Beatrix_Graham,NA
kenneth.qmd,"Kenneth; or, The Rear Guard of the Grand Army(1850) by Charlotte Mary Yonge","Kenneth; or, The Rear Guard of the Grand Army(1850) by Charlotte Mary Yonge",1850,kenneth,NA
kings_of_england.qmd,Charlotte Mary Yonge - Landmarks of History- Charlotte Mary Yonge - Landmarks of History - Ancient History: from from the Earliest Times to the Mahometan Conquest,Charlotte Mary Yonge - Landmarks of History- Charlotte Mary Yonge - Landmarks of History - Ancient History: from from the Earliest Times to the Mahometan Conquest,1848,kings_of_england,NA
lady_hester.qmd,"Lady Hester, or, Ursula's Narrative - Charlotte Mary Yonge","Lady Hester, or, Ursula's Narrative - Charlotte Mary Yonge",1874,lady_hester,https://www.gutenberg.org/ebooks/4659
lances.qmd,The Lances of Lynwood by Charlotte Mary Yonge,Lances of Lynwood by Charlotte Mary Yonge,1855,lances,https://www.gutenberg.org/ebooks/4364
landmarks_of_history_ancient_history.qmd,Charlotte Mary Yonge - Landmarks of History- Charlotte Mary Yonge - Landmarks of History - Ancient History: from from the Earliest Times to the Mahometan Conquest,Charlotte Mary Yonge - Landmarks of History- Charlotte Mary Yonge - Landmarks of History - Ancient History: from from the Earliest Times to the Mahometan Conquest,1852,landmarks_of_history_ancient_history,NA
landmarks_of_history_middle_ages.qmd,Charlotte Mary Yonge - Landmarks of History- II - Middle Ages: from the Reign of Charlemagne to that of Charles (1853),Charlotte Mary Yonge - Landmarks of History- II - Middle Ages: from the Reign of Charlemagne to that of Charles (1853),1853,landmarks_of_history_middle_ages,NA
landmarks_of_history_modern.qmd,Charlotte Mary Yonge - Landmarks of History- III - Modern History: from the Reformation to the Fall of Napoleon (1857),Charlotte Mary Yonge - Landmarks of History- III - Modern History: from the Reformation to the Fall of Napoleon (1857),1857,landmarks_of_history_modern,NA
landmarks_of_history_recent_events.qmd,Charlotte Mary Yonge - Landmarks of Recent History 1770-1883 (1883),Charlotte Mary Yonge - Landmarks of Recent History 1770-1883 (1883),1883,landmarks_of_history_recent_events,NA
langley_little_ones - 6 stories.qmd,Langley Little Ones,Langley Little Ones,1882,langley_little_ones - 6 stories,NA
langley_school.qmd,Langley School,Langley School,NA,langley_school,NA
little_duke.qmd,The Little Duke - Charlotte Mary Yonge,Little Duke - Charlotte Mary Yonge,1854,little_duke,https://www.gutenberg.org/ebooks/3048
little_lucy.qmd,Little Lucy's Wonderful Globe - Charlotte Mary Yonge (1871),Little Lucy's Wonderful Globe - Charlotte Mary Yonge (1871),1871,little_lucy,https://www.gutenberg.org/ebooks/4538
long_vacation.qmd,The Long Vacation,Long Vacation,1895,long_vacation,https://www.gutenberg.org/ebooks/5251
love_and_life.qmd,Love and Life. An Old Story in Eighteenth Century Costume - Charlotte Mary Yonge,Love and Life. An Old Story in Eighteenth Century Costume - Charlotte Mary Yonge,1880,love_and_life,https://www.gutenberg.org/ebooks/5700
magnum_bonum.qmd,"Magnum Bonum, or, Mother Carey's Brood","Magnum Bonum, or, Mother Carey's Brood",1879,magnum_bonum,https://www.gutenberg.org/ebooks/5080
making of a missionary.qmd,"The Making of a Missionary, or, Daydreams in Earnest - Charlotte Mary Yonge","Making of a Missionary, or, Daydreams in Earnest - Charlotte Mary Yonge",1890,making of a missionary,NA
marie_therese_de_lamourous.qmd,Charlotte Mary Yonge - Marie Thérèse de Lamourous,Charlotte Mary Yonge - Marie Thérèse de Lamourous,1858,marie_therese_de_lamourous,NA
memoires_of_colonel_bugeaud.qmd,Memoirs of Colonel Bugeaud - translated and edited by Charlotte Mary Yonge (1884),Memoirs of Colonel Bugeaud - translated and edited by Charlotte Mary Yonge (1884),1884,memoires_of_colonel_bugeaud,NA
miz_maze.qmd,"Charlotte Mary Yonge - The Miz Maze or The Winkworth Puzzle: A story in letters -- by nine authors: Charlotte Mary Yonge, Frances Awdry, Mary Bramston, Christabel Rose Coleridge, A.E. Mary Anderson Morshead, Frances Mary Peard, Mary Susanna Lee, Eleanor C. Price, and Florence Wilford","Charlotte Mary Yonge - The Miz Maze or The Winkworth Puzzle: A story in letters -- by nine authors: Charlotte Mary Yonge, Frances Awdry, Mary Bramston, Christabel Rose Coleridge, A.E. Mary Anderson Morshead, Frances Mary Peard, Mary Susanna Lee, Eleanor C. Price, and Florence Wilford",1883,miz_maze,NA
modern_broods.qmd,Modern Broods - by Charlotte Yonge,Modern Broods - by Charlotte Yonge,1900,modern_broods,https://www.gutenberg.org/ebooks/7191
modern_telemachus.qmd,A Modern Telemachus - Charlotte Mary Yonge,Modern Telemachus - Charlotte Mary Yonge,1886,modern_telemachus,https://www.gutenberg.org/ebooks/4271
monthly_packet.qmd,The Monthly Packet,Monthly Packet,NA,monthly_packet,NA
more_bywords.qmd,Details of Charlotte Yonge's novel More Bywords,Details of Charlotte Yonge's novel More Bywords,1890,more_bywords,NA
mother_in_council.qmd,Mothers in Council - edited in the 1880s-1890s by Charlotte Mary Yonge,Mothers in Council - edited in the 1880s-1890s by Charlotte Mary Yonge,NA,mother_in_council,NA
musings.qmd,Musings over the Christian Year and Lyra Innocentium by Charlotte Mary Yonge,Musings over the Christian Year and Lyra Innocentium by Charlotte Mary Yonge,1871,musings,NA
my_young_alcides.qmd,My Young Alcides (1875) by Charlotte Mary Yonge - translated and edited by Charlotte Mary Yonge (1884),My Young Alcides (1875) by Charlotte Mary Yonge - translated and edited by Charlotte Mary Yonge (1884),NA,my_young_alcides,https://www.gutenberg.org/ebooks/4347
New Ground.qmd,New Ground - by Charlotte Mary Yonge(1864),New Ground - by Charlotte Mary Yonge(1864),1868,New Ground,NA
nuttie.qmd,Details of Nuttie's Father by Charlotte Mary Yonge,Details of Nuttie's Father by Charlotte Mary Yonge,1885,nuttie,https://www.gutenberg.org/ebooks/4053
old_journal_of_the_Lady_Beatrix_Graham.qmd,NA,NA,NA,old_journal_of_the_Lady_Beatrix_Graham,NA
old_times_at_otterbourne.qmd,Charlotte Mary Yonge - Old Times at Otterbourne,Charlotte Mary Yonge - Old Times at Otterbourne,1891,old_times_at_otterbourne,NA
old_womans_outlook.qmd,An Old Woman's Outlook in a Hampshire Village - Charlotte Mary Yonge (1892),Old Woman's Outlook in a Hampshire Village - Charlotte Mary Yonge (1892),1892,old_womans_outlook,NA
parallel_history.qmd,A Parallel History of France and England by Charlotte Yonge (1871),Parallel History of France and England by Charlotte Yonge (1871),1871,parallel_history,NA
patriots_of_palestine.qmd,The Patriots of Palestine - A Story of the Macabees by Charlotte Yonge,Patriots of Palestine - A Story of the Macabees by Charlotte Yonge,1898,patriots_of_palestine,NA
"Pickle and his page-boy, or Unlooked for - a story.qmd","Charlotte Mary Yonge - Pickle and his page-boy, or Unlooked for: a story","Charlotte Mary Yonge - Pickle and his page-boy, or Unlooked for: a story",1882,"Pickle and his page-boy, or Unlooked for - a story",NA
pictorial history of the worlds great nations.qmd,A pictorial history of the world's great nations - Charlotte Mary Yonge,pictorial history of the world's great nations - Charlotte Mary Yonge,1882,pictorial history of the worlds great nations,NA
pigeon.qmd,The Pigeon Pie - Charlotte Mary Yonge,Pigeon Pie - Charlotte Mary Yonge,1860,pigeon,https://www.gutenberg.org/ebooks/2606
pillars_of_the_house.qmd,"The Pillars of the House, or Under Wode, Under Rode","Pillars of the House, or Under Wode, Under Rode",1873,pillars_of_the_house,https://www.gutenberg.org/ebooks/6331
pioneers and founders.qmd,Pioneers and Founders - Charlotte Mary Yonge,Pioneers and Founders - Charlotte Mary Yonge,1871,pioneers and founders,NA
prince_and_page.qmd,The Prince and the Page - Charlotte Mary Yonge,Prince and the Page - Charlotte Mary Yonge,1866,prince_and_page,https://www.gutenberg.org/ebooks/3696
"Ps & Qs - Or, The Question of Putting Upon.qmd","P's & Q's: Or, The Question of Putting Upon - by Charlotte Mary Yonge(1864)","P's & Q's: Or, The Question of Putting Upon - by Charlotte Mary Yonge(1864)",1872,"Ps & Qs - Or, The Question of Putting Upon",NA
pupils_of_st_john_the_divine.qmd,The Pupils of St John the Divine - Charlotte Mary Yonge,Pupils of St John the Divine - Charlotte Mary Yonge,1868,pupils_of_st_john_the_divine,NA
railroad children.qmd,The Railroad Children - Charlotte Mary Yonge,Railroad Children - Charlotte Mary Yonge,1849,railroad children,NA
recollections of colonel de gonnevill.qmd,by Charlotte Mary Yonge,by Charlotte Mary Yonge,NA,recollections of colonel de gonnevill,NA
reputed_changeling.qmd,"A Reputed Changeling, or, Three Seventh Years Two Centuries Ago","Reputed Changeling, or, Three Seventh Years Two Centuries Ago",1889,reputed_changeling,NA
scenes_and_characters.qmd,"Scenes and Characters, or, Eighteen Months at Beechcroft - Charlotte Mary Yonge","Scenes and Characters, or, Eighteen Months at Beechcroft - Charlotte Mary Yonge",1847,scenes_and_characters,https://www.gutenberg.org/ebooks/4944
sintram.qmd,Sintram and his companions with Introduction by Charlotte Mary Yonge,Sintram and his companions with Introduction by Charlotte Mary Yonge,NA,sintram,NA
six cushions.qmd,The Six Cushions - by Charlotte Mary Yonge(1867),Six Cushions - by Charlotte Mary Yonge(1867),1867,six cushions,NA
slaves_of_sabinus.qmd,"Slaves of Sabinus, Jew & Gentile","Slaves of Sabinus, Jew & Gentile",1890,slaves_of_sabinus,NA
Sowing and Sewing.qmd,Sowing and Sewing: A Sexagesima Story - by Charlotte Mary Yonge(1882),Sowing and Sewing: A Sexagesima Story - by Charlotte Mary Yonge(1882),1882,Sowing and Sewing,NA
sparks_of_light.qmd,Charlotte Mary Yonge - Sparks of light for every day,Charlotte Mary Yonge - Sparks of light for every day,1881,sparks_of_light,NA
stokesley.qmd,The Stokesley Secret - Charlotte Mary Yonge,Stokesley Secret - Charlotte Mary Yonge,1861,stokesley,https://www.gutenberg.org/ebooks/3411
storehouse_of_stories_1.qmd,Charlotte Mary Yonge - A Storehouse of Stories volume 1,Charlotte Mary Yonge - A Storehouse of Stories volume 1,NA,storehouse_of_stories_1,NA
story_of_christians.qmd,The Story of the Christians and the Moors in Spain by Charlotte Mary Yonge,Story of the Christians and the Moors in Spain by Charlotte Mary Yonge,1878,story_of_christians,NA
stray_pearls.qmd,"Stray Pearls: Memoirs of Margaret de Ribaumont, Viscountess de Bellaise","Stray Pearls: Memoirs of Margaret de Ribaumont, Viscountess de Bellaise",NA,stray_pearls,https://www.gutenberg.org/ebooks/5708
Strolling Players.qmd,Strolling players:A harmony of contrasts - by Charlotte Mary Yonge and Christabel R Coleridge(1893),Strolling players:A harmony of contrasts - by Charlotte Mary Yonge and Christabel R Coleridge(1893),1893,Strolling Players,NA
"talks about the laws we live under, or, Langley night school.qmd","Charlotte Mary Yonge - Talks about the laws we live under, or, At Langley Night sShool","Charlotte Mary Yonge - Talks about the laws we live under, or, At Langley Night sShool",1882,"talks about the laws we live under, or, Langley night school",NA
that_stick.qmd,Details of Charlotte Yonge's novel That Stick,Details of Charlotte Yonge's novel That Stick,1892,that_stick,NA
The apple of discord.qmd,The apple of discord - by Charlotte Mary Yonge(1864),apple of discord - by Charlotte Mary Yonge(1864),1864,The apple of discord,NA
The Herb of the Field.qmd,The Herb of the Field,Herb of the Field,1853,The Herb of the Field,NA
The pilgrimage of the Ben Beriah.qmd,The pilgrimage of the Ben Beriah - by Charlotte Mary Yonge(1864),pilgrimage of the Ben Beriah - by Charlotte Mary Yonge(1864),1899,The pilgrimage of the Ben Beriah,NA
thomas_thumb.qmd,The History of the LIfe and Death of the Good Knight Sir Tom Thumb - Charlotte Mary Yonge,History of the LIfe and Death of the Good Knight Sir Tom Thumb - Charlotte Mary Yonge,NA,thomas_thumb,NA
three brides.qmd,Details of Charlotte Yonge's novel The Three Brides,Details of Charlotte Yonge's novel The Three Brides,1876,three brides,NA
treasures in the marshes.qmd,Charlotte Mary Yonge - The Treasures in the Marshes,Charlotte Mary Yonge - The Treasures in the Marshes,1893,treasures in the marshes,NA
trial.qmd,Online text of The Trial: More Links of The Daisy Chain (1864) by Charlotte Mary Yonge,Online text of The Trial: More Links of The Daisy Chain (1864) by Charlotte Mary Yonge,1864,trial,https://www.gutenberg.org/ebooks/3744
two_guardians.qmd,"The Two Guardians, or, Home in this World - Charlotte Mary Yonge (1852)","Two Guardians, or, Home in this World - Charlotte Mary Yonge (1852)",1852,two_guardians,NA
two_penniless_princesses.qmd,Two Penniless Princesses - Charlotte Mary Yonge,Two Penniless Princesses - Charlotte Mary Yonge,1891,two_penniless_princesses,https://www.gutenberg.org/ebooks/2942
two_sides_of_the_shield.qmd,The Two Sides of the Shield - Charlotte Mary Yonge,Two Sides of the Shield - Charlotte Mary Yonge,1885,two_sides_of_the_shield,https://www.gutenberg.org/ebooks/6007
under_the_storm.qmd,"Under The Storm or, Steadfast's Charge","Under The Storm or, Steadfast's Charge",1887,under_the_storm,https://www.gutenberg.org/ebooks/6006
undine.qmd,Undine - with Introduction by Charlotte Mary Yonge,Undine - with Introduction by Charlotte Mary Yonge,NA,undine,NA
unknown_to_history.qmd,Unknown To History,Unknown To History,1882,unknown_to_history,https://www.gutenberg.org/ebooks/4596
victorian_half_century.qmd,Victorian Half-Century: A Jubilee Book - Charlotte Mary Yonge,Victorian Half-Century: A Jubilee Book - Charlotte Mary Yonge,"1886, 1887",victorian_half_century,NA
Wars of Wapsburgh.qmd,The wars of Wapsburgh - by Charlotte Mary Yonge(1864),wars of Wapsburgh - by Charlotte Mary Yonge(1864),1864,Wars of Wapsburgh,NA
what_books_to_lend.qmd,What Books to Lend and What to Give - Charlotte Mary Yonge (1884),What Books to Lend and What to Give - Charlotte Mary Yonge (1884),1887,what_books_to_lend,NA
willies_trouble.qmd,"Charlotte Mary Yonge - The Miz Maze or The Winkworth Puzzle: A story in letters -- by nine authors: Charlotte Mary Yonge, Frances Awdry, Mary Bramston, Christabel Rose Coleridge, A.E. Mary Anderson Morshead, Frances Mary Peard, Mary Susanna Lee, Eleanor C. Price, and Florence Wilford","Charlotte Mary Yonge - The Miz Maze or The Winkworth Puzzle: A story in letters -- by nine authors: Charlotte Mary Yonge, Frances Awdry, Mary Bramston, Christabel Rose Coleridge, A.E. Mary Anderson Morshead, Frances Mary Peard, Mary Susanna Lee, Eleanor C. Price, and Florence Wilford",NA,willies_trouble,NA
womankind.qmd,Womankind,Womankind,1877,womankind,NA
young_stepmother.qmd,Young Stepmother: a Chronicle of Mistakes,Young Stepmother: a Chronicle of Mistakes,1861,young_stepmother,https://www.gutenberg.org/ebooks/5843
youth_of_queen_elizabeth.qmd,Charlotte Mary Yonge,Charlotte Mary Yonge,NA,youth_of_queen_elizabeth,NA
